class_id,name,days,teacher_id,grade_level,max_size,term,schedule_block,classroom_id
00b6393f-e093-493f-81d6-7d5f3f888f37,Figurative Art,[3],3461c167-d0d4-4ebf-927d-56ee0f85b399,"[""6"",""7"",""8""]",15,Both,[6],
02a1ac7c-8d3d-42a0-9576-2fc2b0f44578,Intermediate Orchestra,[4],4e8c99b3-da20-4884-9e69-0277e818be5d,"[""10"",""11"",""12"",""3"",""4"",""5"",""6"",""7"",""8"",""9""]",20,Both,[3],
0676dfde-48e0-483c-9080-91c208ddfdc3,1-2 History (W),[3],4ce07c52-40c1-446c-b5dd-d26875086440,"[""1"",""2""]",15,Both,,
0a6d7846-89bf-417c-81c1-cdfeb686f6c6,3-5 Math Lab M1,[1],c31bf2b7-0702-4763-9d6d-34f3199a11bf,"[""3"",""4"",""5""]",12,Both,[1],
0afc990f-38c3-4c35-99da-87a93a05d318,9-12 Mindfullness,[1],5c268572-9487-4862-8413-97af7b4a8007,"[""10"",""11"",""12"",""9""]",15,Both,[5],
0b2ca652-a3e5-4f56-8a1b-0fcfc862dfe5,6-8 Leadership,[2],9f0c4a88-b335-4f66-97e2-3b70eb052dac,"[""6"",""7"",""8""]",30,Both,[3],
0c54eac1-58c4-4eb3-b9c2-38f8e28fd484,6-8 Beginning Spanish,[2],063bdb63-94c3-4622-9468-321d91df7259,"[""6"",""7"",""8""]",15,Both,[1],
0fcc3637-a903-4b0d-a14d-5a2d32f4ff8b,K-5 Nature Science,[4],4c2c2bff-baa9-4005-a0da-d56fd1f1f58d,"[""1"",""2"",""3"",""4"",""5"",""K""]",20,Both,[6],
1545bb72-252a-445d-bfe5-fc00bc987d45,9-12 Culinary Arts (Th),"[1,4]",212ab7d4-17d3-4537-a3e6-d1490363e90f,"[""10"",""11"",""12"",""9""]",10,Both,[5],
171dc959-2d8a-4ba9-a9ba-034d78a91d81,1-2 Language Arts & Math (Th),[4],4ce07c52-40c1-446c-b5dd-d26875086440,"[""1"",""2""]",15,Both,,
17c439e1-f378-4f9c-a74f-b04b2e9b40ec,6-8 American Sign Language,[1],6f42cf0c-2cbb-430d-8204-db0e6f00498e,"[""6"",""7"",""8""]",15,Both,[2],
1bfcd5bf-47f4-4219-a0d6-1ff7ad9d9522,Algebra 1 (Th),"[1,4]",5c268572-9487-4862-8413-97af7b4a8007,"[""10"",""7"",""8"",""9""]",15,Both,[1],
1f32932d-9cf8-4a90-a7a7-2360187f9b27,Beginning Orchestra,[1],4e8c99b3-da20-4884-9e69-0277e818be5d,"[""2"",""3"",""4"",""5"",""6"",""7"",""8""]",15,Both,[2],
1f36bc40-aa95-438f-af18-17ba1898063f,9-12 STEM,"[1,3]",5c268572-9487-4862-8413-97af7b4a8007,"[""10"",""11"",""12"",""9""]",14,Both,[1],
20debbbe-1f10-4549-9440-18c951ff78f2,Algebra 1 (T),[2],,"[""10"",""7"",""8"",""9""]",15,Both,[2],
215c5b2b-27fe-4501-8399-0a122fd4a9ed,"Keys to Kindergarten (M, bl.3)",[1],4aaaa9e9-e2a2-4cf9-8c32-ceabe644a237,"[""K""]",20,Both,[3],
255007ba-6543-4bab-8349-efb8f02d3aec,3-8 Drama,[1],19b25134-bdf5-487b-a8ba-4fca61804bac,"[""3"",""4"",""5"",""6"",""7"",""8""]",15,Both,[5],
28525184-426d-4c92-9632-0067eb26b757,Algebra 2,[4],0c1f4c06-6d4c-480e-9666-99eb47250e1a,"[""10"",""11"",""12"",""8"",""9""]",6,Both,[1],
29d1b7ae-1726-40b6-b8d2-2774036aa2d7,3 Math (Th),[4],c31bf2b7-0702-4763-9d6d-34f3199a11bf,"[""3""]",10,Both,[3],
2c985a98-2226-4859-909e-e97aead38835,Entrepreneurial Art (9-12),"[1,2]",3461c167-d0d4-4ebf-927d-56ee0f85b399,"[""10"",""11"",""12"",""9""]",8,Both,[3],
2fc7c44f-b5b5-4b1c-908a-d5ae70ca8314,"Keys to Kindergarten (W, bl.2)",[3],4aaaa9e9-e2a2-4cf9-8c32-ceabe644a237,"[""K""]",20,Both,[2],
3039000c-6ad1-4661-b9de-a6e966ffae73,3-6 Intermediate Robotics,[3],1b11f927-25f6-489d-bf83-1c553f3962f1,"[""3"",""4"",""5"",""6""]",8,Both,[5],
307814af-eff8-4d92-8e02-d25e1a4f0aca,3-5 Creative Writing,[1],06420e9f-2ce0-43c4-89f8-1ee111af0438,"[""3"",""4"",""5""]",15,Both,,
32c6ea9c-95eb-42ca-861b-44c58cfc5693,3-4 History,[3],c1364963-ca82-4b95-9394-33207c022be7,"[""3"",""4""]",12,Both,,
3349336a-045b-465e-be25-d9fc900d1eb7,"Keys to Kindergarten (Th, bl.4)",[4],4aaaa9e9-e2a2-4cf9-8c32-ceabe644a237,"[""K""]",20,Both,[4],
33e48f1e-8fd5-4bf7-9934-f5a3ea1bd401,5 Science,[2],4c2c2bff-baa9-4005-a0da-d56fd1f1f58d,"[""5""]",12,Both,[3],
3645c936-599b-44db-bd09-f8f7034468c9,"Keys to Kindergarten (M, bl.2)",[1],4aaaa9e9-e2a2-4cf9-8c32-ceabe644a237,"[""K""]",20,Both,[2],
365bba4b-6311-45df-993b-515342cd7946,9-12 Project Based Learning,[1],673499ba-c0de-4f0b-95db-b53cc3b0f559,"[""10"",""11"",""12"",""9""]",15,Both,[2],
3900f137-25b5-4fa6-934d-30457e0cdfea,3-5 Creative Problem Solving,[1],5c268572-9487-4862-8413-97af7b4a8007,"[""3"",""4"",""5""]",20,Semester 2,,
39087fe6-afb1-4e04-a688-d5cbb13c012c,1-2 LanguageArts & Math (T),[2],4ce07c52-40c1-446c-b5dd-d26875086440,"[""1"",""2""]",15,Both,,
3a759393-0bcd-4950-8d7a-41601c784808,5-6 Math (T),[2],774d13f3-ce8c-4d98-b896-92ba44527300,"[""5"",""6""]",15,Both,[2],
41c9025a-ffc8-4207-8fa1-82c732468bc0,4-5 Math (Th),[4],774d13f3-ce8c-4d98-b896-92ba44527300,"[""4"",""5""]",10,Both,[3],
4366a990-d739-4b41-831e-07f79a842b6b,3-5 Art (W),[3],62cffdf2-ab8b-495d-8c44-0eee4fda2749,"[""3"",""4"",""5""]",12,Both,,
46f73c20-b9da-4cd2-94c3-76b0bdee34c0,ACT Prep,[1],fda7f556-f646-4223-96c0-bf82249dc65c,"[""10"",""11"",""12"",""8"",""9""]",15,Both,[1],
47e4ba39-e67a-4cf3-989d-962dc3ac03c3,Beginning Photography,"[1,4]",8decdc38-0d74-4438-ab8d-ccc92d538b9f,"[""10"",""11"",""12"",""8"",""9""]",15,Both,[3],
4a3278b0-fb00-4c4b-882d-b5aa38cc1467,1-5 Reading Tutor (T),[2],dbbc0aaf-9a61-41f9-b066-cf60c6c098b6,"[""1"",""2"",""3"",""4"",""5""]",15,Both,,
52d8e9ed-cab6-4bd6-a902-c393e52986c6,"4-5 Grammar (T, Th)",[2],50b1b067-1c58-43b4-ad46-33b5c79e7e6f,"[""4"",""5""]",10,Both,[2],
573c5ab9-0de0-4c93-82a9-6ea6810b71c1,Pre-Algebra (Th),[4],673499ba-c0de-4f0b-95db-b53cc3b0f559,"[""6"",""7"",""8"",""9""]",12,Both,[2],
5a3a212f-fee8-440c-a739-d8a0c497ca09,3-5 Mindfulness Matters,[1],5c268572-9487-4862-8413-97af7b4a8007,"[""3"",""4"",""5""]",15,Both,[2],
5b69fa21-8b1e-4ec3-acef-161ff57bc0cc,6-8 History (block4),[3],7f56220a-d94c-4d04-8154-4bc48013b4bb,"[""6"",""7"",""8""]",15,Both,[4],
5e50869d-73d4-4291-919b-691467c03305,3 Grammar (Th),[4],50b1b067-1c58-43b4-ad46-33b5c79e7e6f,"[""3""]",10,Both,[1],
5ec9b915-b1bd-4939-9687-a5df49aa39cb,1-2 Science,[2],4c2c2bff-baa9-4005-a0da-d56fd1f1f58d,"[""1"",""2""]",12,Both,,
6043eb79-1c80-4536-949d-00067d03cf21,3 Math (T),[2],c31bf2b7-0702-4763-9d6d-34f3199a11bf,"[""3""]",10,Both,[3],
62a85713-63a1-4614-a6a4-e6f45cd431f9,K-2 Spanish Games (W),[3],063bdb63-94c3-4622-9468-321d91df7259,"[""1"",""2"",""K""]",15,Both,[4],
63412343-13fc-405c-b19d-44bcb4b0c218,3-5 Math Lab M4,[1],c31bf2b7-0702-4763-9d6d-34f3199a11bf,"[""3"",""4"",""5""]",8,Both,[4],
