student_id,parent_id
00491a9f-edf8-4768-be34-067c30e1d4fc,5f4bcecc-ef5e-4a4d-af9a-dfa3fb50cabf
00491a9f-edf8-4768-be34-067c30e1d4fc,b7d3ffa5-f433-4801-92e5-05cc4b8e24a6
02223c6e-5fea-4fb5-88ee-b391f7568ab7,a3560c40-bfb7-4d0e-942d-6ad294f26e2c
02223c6e-5fea-4fb5-88ee-b391f7568ab7,d1adae90-70c7-44e9-a1c2-214ebff88c32
0301620a-1829-4a88-958a-84b640cfbaa4,362e4495-71c5-441d-a1ab-17d723a40434
0b6e4714-24c4-4550-865c-24d4c8a2cb89,68795b66-7dd1-45c1-9e06-db39d7e21d70
0f49a5ce-f1ed-49a5-92df-01f0fc235786,df0b575d-49d2-435d-9879-246413b791e1
12e7f8f4-53c1-4059-932a-f63a34992edd,87198ceb-850e-4d01-9dca-bbe3a9a09f5a
15eb34b4-b9c3-42d2-b0e4-4d6f8a1ccf62,bc0348b4-6d69-4499-a67e-ae754fa46d13
18c0bd9c-b522-4877-be9d-5f68eab1dcba,87198ceb-850e-4d01-9dca-bbe3a9a09f5a
1e0e2639-2f85-46f4-9171-c7fb8cab821d,a2d29668-efdb-40ad-bc5e-d7e3a1fa1563
2382edc3-fc09-4f57-aac5-b788050b33f5,e62921d4-9e6f-4816-8e2d-026bc8a1f183
24ddab95-0c84-4ec8-8cfd-a04ee64e8447,7d11f286-e2c1-4158-907a-aeea1e04aa96
24ddab95-0c84-4ec8-8cfd-a04ee64e8447,e0237945-a329-45a4-8d4f-8c75a2ee1ed1
29dbffbe-1e75-45bd-a09f-5b38c6506f21,a525d636-1512-48da-9a4a-4afd04879a92
33255fb4-ed30-4884-8401-31fe3fc87003,6e705822-bd09-4a30-b091-23c282756405
33255fb4-ed30-4884-8401-31fe3fc87003,8bb2591d-2faf-458c-8ed7-b849d6574c93
3696e70c-de42-403c-a0a6-96223cca40f4,68795b66-7dd1-45c1-9e06-db39d7e21d70
380aebda-5e9e-455a-bc6f-f3104bcbef8b,81555b7c-640d-4640-bcad-9673a3197e2b
380aebda-5e9e-455a-bc6f-f3104bcbef8b,88fa3ade-6b0e-4dad-bd4f-e06b487c0aab
3849489a-ad41-484b-98dc-2e0a08af6ed4,d451e848-46a8-475e-a4eb-fa800e1c8af5
3f2ede2e-4c09-4307-8aa1-08993601ce60,d451e848-46a8-475e-a4eb-fa800e1c8af5
40df8f86-a8db-4f32-a378-29c507e8d99a,b7c8e861-901f-4078-baeb-f0c5231fb1d9
43e5f0d9-2a4a-42b8-a1f5-7c089f07581b,a3560c40-bfb7-4d0e-942d-6ad294f26e2c
43e5f0d9-2a4a-42b8-a1f5-7c089f07581b,d1adae90-70c7-44e9-a1c2-214ebff88c32
477a967e-1ac2-4a5d-af1b-c908f74c0689,ec5c1c30-1241-446e-87bd-714b96f06df4
4dabc61c-427f-4bcc-841f-1c8c0a5415e5,58e1a5f1-e573-498c-803b-beb26f62f495
4dabc61c-427f-4bcc-841f-1c8c0a5415e5,88d2a95d-ac0c-42bb-86b2-d9c17afeb5ff
544c7a2f-6fbc-4192-b299-12ce62b7c2de,87198ceb-850e-4d01-9dca-bbe3a9a09f5a
5f41e068-ab12-49d3-bc02-f58c110b2714,be1ab279-435f-44e4-804f-3de0d3630c69
626a7ef1-5602-46d5-b557-6dcd0ed316b7,14119e51-f5cb-4c3a-86a5-35101efe28ee
634a2413-20bc-4090-9325-94e2f81048a6,a77ad412-d5b2-4cdd-b646-08f447711ea8
653732d9-83ad-4d29-b7ff-ac08ccafb3fa,bc0348b4-6d69-4499-a67e-ae754fa46d13
67e0c8bb-8b4d-4285-9576-f94fbd72fcd9,5f4bcecc-ef5e-4a4d-af9a-dfa3fb50cabf
67e0c8bb-8b4d-4285-9576-f94fbd72fcd9,b7d3ffa5-f433-4801-92e5-05cc4b8e24a6
6a782c70-935d-42e5-acb0-ef0eb6d6fb45,0f6138e5-fe20-4c6a-995f-3d6722e8abba
6a782c70-935d-42e5-acb0-ef0eb6d6fb45,757fa6fa-28b4-4f9b-a58d-b0288d48ccef
6c8b028c-62d3-4b6d-984b-d2bf6301452b,6f20ed07-9d26-473f-9196-0e3c6972a6c6
7147ddc2-f94a-4d5b-afc2-242473e7a0c3,f4b416a9-b24e-4699-875b-90a488edc455
72b551ca-09c8-4dd2-a628-f982b3d08d80,5f92af83-e277-42e0-abc2-a292e9927d91
72b551ca-09c8-4dd2-a628-f982b3d08d80,bd141c4a-4ce8-4b42-89b9-a4925478526a
79bd4103-e24a-4469-be0c-695c7b4e7305,0cadbbfc-5018-4a8f-92ab-fe627505c643
79bd4103-e24a-4469-be0c-695c7b4e7305,41a2eebe-7d0b-44b3-a801-187af5329e70
807449d4-48c6-4b63-b09e-035b7503db3b,1db8c64e-4dfe-4692-a80e-213b74ce6930
819693aa-73e6-4076-a1d6-657dc0348e81,d37324a0-8452-4089-b389-018afe9431be
8424e822-047a-481d-9b64-7a4a1e80b962,7fef4d85-2c36-43a5-ac0e-ee638579183b
843dd316-1444-4c6c-9125-d1b7c3fd1872,77843114-d36d-4148-9a75-7b3bc4b786de
85919baa-5fc5-4214-a68c-31cdbbf1057a,c1613b44-00e4-4554-a73d-33af1500be86
85becdd3-8509-4464-aef3-5a54c62da2d1,3f5ced6c-7b2e-4b51-9f94-8937b7b16ce0
